Company:,Ride Hailing Data,,,,,,
Date:,,,,,,,
,,,,,,,
Ride ID,OriginArea,BookingTime,Total (hh:mm:ss),Traffic Period,Confirmed,Confirmation Time,Ride Start Time
RD1,Indiranagar,7:23 AM,00:19:00,Non-Peak Time,No,8,0
RD2,Indiranagar,5:28 AM,00:15:00,Non-Peak Time,Yes,3,12
RD3,Indiranagar,6:57 AM,00:09:00,Non-Peak Time,Yes,3,6
RD4,Indiranagar,5:32 AM,00:18:00,Non-Peak Time,Yes,6,12
RD5,Indiranagar,5:04 AM,00:15:00,Non-Peak Time,Yes,4,11
RD6,Indiranagar,6:05 AM,00:18:00,Non-Peak Time,No,11,0
RD7,Indiranagar,7:56 AM,00:13:00,Non-Peak Time,Yes,4,9
RD8,Indiranagar,5:11 AM,00:08:00,Non-Peak Time,Yes,2,6
RD9,Indiranagar,5:02 AM,00:06:00,Non-Peak Time,Yes,1,5
RD10,Indiranagar,6:29 AM,00:19:00,Non-Peak Time,Yes,5,14
RD11,Indiranagar,7:15 AM,00:18:00,Non-Peak Time,Yes,6,12
RD12,Indiranagar,7:54 AM,00:14:00,Non-Peak Time,Yes,3,11
RD13,Indiranagar,7:10 AM,00:38:00,Non-Peak Time,Yes,10,28
RD14,Indiranagar,5:58 AM,00:17:00,Non-Peak Time,Yes,4,13
RD15,Indiranagar,5:50 AM,00:16:00,Non-Peak Time,Yes,4,12
RD16,Indiranagar,5:02 AM,00:26:00,Non-Peak Time,Yes,9,17
RD17,Indiranagar,7:26 AM,00:05:00,Non-Peak Time,No,3,0
RD18,Indiranagar,7:46 AM,00:14:00,Non-Peak Time,Yes,5,9
RD19,Indiranagar,8:17 AM,00:21:00,Peak Time,Yes,4,17
RD20,Indiranagar,9:54 AM,00:25:00,Peak Time,No,9,0
RD21,Indiranagar,10:32 AM,00:19:00,Peak Time,No,9,0
RD22,Indiranagar,9:34 AM,00:29:00,Peak Time,Yes,10,19
RD23,Indiranagar,10:41 AM,00:15:00,Peak Time,Yes,3,12
RD24,Indiranagar,8:44 AM,00:27:00,Peak Time,No,10,0
RD25,Indiranagar,9:47 AM,00:17:00,Peak Time,Yes,3,14
RD26,Indiranagar,9:54 AM,00:20:00,Peak Time,Yes,7,13
RD27,Indiranagar,10:38 AM,00:24:00,Peak Time,No,9,0
RD28,Indiranagar,8:48 AM,00:25:00,Peak Time,Yes,5,20
RD29,Indiranagar,8:01 AM,00:22:00,Peak Time,Yes,7,15
RD30,Indiranagar,8:48 AM,00:22:00,Peak Time,Yes,4,18
RD31,Indiranagar,10:06 AM,00:15:00,Peak Time,No,9,0
RD32,Indiranagar,10:05 AM,00:34:00,Peak Time,No,12,0
RD33,Indiranagar,9:49 AM,00:16:00,Peak Time,No,8,0
RD34,Indiranagar,9:54 AM,00:28:00,Peak Time,Yes,9,19
RD35,Indiranagar,8:43 AM,00:18:00,Peak Time,Yes,5,13
RD36,Indiranagar,10:24 AM,00:19:00,Peak Time,No,7,0
RD37,Indiranagar,8:16 AM,00:15:00,Peak Time,No,5,0
RD38,Indiranagar,10:34 AM,00:26:00,Peak Time,Yes,7,19
RD39,Indiranagar,8:40 AM,00:21:00,Peak Time,No,6,0
RD40,Indiranagar,10:48 AM,00:15:00,Peak Time,No,6,0
RD41,Indiranagar,9:37 AM,00:24:00,Peak Time,No,10,0
RD42,Indiranagar,9:39 AM,00:26:00,Peak Time,No,10,0
RD43,Indiranagar,9:40 AM,00:25:00,Peak Time,Yes,6,19
RD44,Indiranagar,10:32 AM,00:18:00,Peak Time,Yes,5,13
RD45,Indiranagar,8:15 AM,,,,1,
RD46,Indiranagar,9:07 AM,00:23:00,Peak Time,Yes,8,15
